model,dataset,task,level,median_tokens_per_sample,global_avg_tokens_per_sample,global_avg_latency_sec,ratio_latency_sec_per_sample,regression_latency_sec_per_sample,n_windows,r2
llama,PBD,is_vulnerable_patch,L1,477.0,1088.7,5.5,2.41,5.407,30,0.0028
llama,PBD,is_vulnerable_patch,L2,930.0,1088.7,5.5,4.698,5.42,30,0.0028
llama,PBD,is_vulnerable_patch,L3,1380.0,1088.7,5.5,6.972,5.433,30,0.0028
llama,PBD,is_vulnerable_patch_cve_cwe,L1,499.0,1110.7,5.5,2.471,5.414,30,0.7229
llama,PBD,is_vulnerable_patch_cve_cwe,L2,952.0,1110.7,5.5,4.714,5.495,30,0.7229
llama,PBD,is_vulnerable_patch_cve_cwe,L3,1402.0,1110.7,5.5,6.942,5.576,30,0.7229
llama,PBD,is_vulnerable_vuln,L1,471.0,1043.7,5.5,2.482,5.398,30,0.0049
llama,PBD,is_vulnerable_vuln,L2,866.0,1043.7,5.5,4.564,5.413,30,0.0049
llama,PBD,is_vulnerable_vuln,L3,1283.0,1043.7,5.5,6.761,5.428,30,0.0049
llama,PBD,is_vulnerable_vuln_cve_cwe,L1,493.0,1065.7,5.5,2.544,5.399,30,0.2816
llama,PBD,is_vulnerable_vuln_cve_cwe,L2,888.0,1065.7,5.5,4.583,5.461,30,0.2816
llama,PBD,is_vulnerable_vuln_cve_cwe,L3,1305.0,1065.7,5.5,6.735,5.526,30,0.2816
mistral,LFD,is_vulnerable_patch,L1,574.0,944.7,0.1,0.061,0.1,6,0.0
mistral,LFD,is_vulnerable_patch,L2,1169.0,944.7,0.1,0.124,0.1,6,0.0
mistral,LFD,is_vulnerable_patch,L3,1838.0,944.7,0.1,0.195,0.1,6,0.0
mistral,LFD,is_vulnerable_patch_cve_cwe,L1,607.0,994.4,0.1,0.061,0.121,6,0.0066
mistral,LFD,is_vulnerable_patch_cve_cwe,L2,1202.0,994.4,0.1,0.121,0.116,6,0.0066
mistral,LFD,is_vulnerable_patch_cve_cwe,L3,1871.0,994.4,0.1,0.188,0.111,6,0.0066
mistral,LFD,is_vulnerable_vuln,L1,536.0,879.6,0.1,0.061,0.1,6,0.0
mistral,LFD,is_vulnerable_vuln,L2,1222.0,879.6,0.1,0.139,0.1,6,0.0
mistral,LFD,is_vulnerable_vuln,L3,1722.0,879.6,0.1,0.196,0.1,6,0.0
mistral,LFD,is_vulnerable_vuln_cve_cwe,L1,576.0,912.6,0.1,0.063,0.1,6,0.0
mistral,LFD,is_vulnerable_vuln_cve_cwe,L2,1255.0,912.6,0.1,0.138,0.1,6,0.0
mistral,LFD,is_vulnerable_vuln_cve_cwe,L3,1755.0,912.6,0.1,0.192,0.1,6,0.0
mistral,PBD,is_vulnerable_patch,L1,687.0,1611.0,0.1,0.043,0.084,28,0.3312
mistral,PBD,is_vulnerable_patch,L2,1343.0,1611.0,0.1,0.083,0.1,28,0.3312
mistral,PBD,is_vulnerable_patch,L3,1972.0,1611.0,0.1,0.122,0.116,28,0.3312
mistral,PBD,is_vulnerable_patch_cve_cwe,L1,719.0,1664.9,0.1,0.043,0.062,26,0.3275
mistral,PBD,is_vulnerable_patch_cve_cwe,L2,1375.0,1664.9,0.1,0.083,0.107,26,0.3275
mistral,PBD,is_vulnerable_patch_cve_cwe,L3,2005.0,1664.9,0.1,0.12,0.15,26,0.3275
mistral,PBD,is_vulnerable_vuln,L1,688.0,1560.6,0.1,0.044,0.08,27,0.3997
mistral,PBD,is_vulnerable_vuln,L2,1216.0,1560.6,0.1,0.078,0.095,27,0.3997
mistral,PBD,is_vulnerable_vuln,L3,1844.0,1560.6,0.1,0.118,0.113,27,0.3997
mistral,PBD,is_vulnerable_vuln_cve_cwe,L1,720.0,1594.8,0.1,0.045,0.082,26,0.1704
mistral,PBD,is_vulnerable_vuln_cve_cwe,L2,1248.0,1594.8,0.1,0.078,0.104,26,0.1704
mistral,PBD,is_vulnerable_vuln_cve_cwe,L3,1877.0,1594.8,0.1,0.118,0.13,26,0.1704
qwen3_coder,LFD,is_vulnerable_patch,L1,416.0,637.3,28.95,18.897,29.882,18,0.0453
qwen3_coder,LFD,is_vulnerable_patch,L2,775.0,637.3,28.95,35.205,28.793,18,0.0453
qwen3_coder,LFD,is_vulnerable_patch,L3,1268.0,637.3,28.95,57.6,27.298,18,0.0453
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L1,445.0,666.3,31.6,21.105,32.474,18,0.1293
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L2,804.0,666.3,31.6,38.131,31.109,18,0.1293
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L3,1297.0,666.3,31.6,61.512,29.234,18,0.1293
qwen3_coder,LFD,is_vulnerable_vuln,L1,389.0,609.7,26.2,16.716,26.929,18,0.005
qwen3_coder,LFD,is_vulnerable_vuln,L2,816.0,609.7,26.2,35.065,26.671,18,0.005
qwen3_coder,LFD,is_vulnerable_vuln,L3,1198.0,609.7,26.2,51.48,26.441,18,0.005
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L1,420.0,638.7,31.15,20.484,30.592,18,0.0001
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L2,845.0,638.7,31.15,41.211,30.637,18,0.0001
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L3,1227.0,638.7,31.15,59.842,30.678,18,0.0001
qwen3_coder,PBD,is_vulnerable_patch,L1,480.0,1096.7,43.8,19.17,49.756,60,0.0004
qwen3_coder,PBD,is_vulnerable_patch,L2,935.0,1096.7,43.8,37.342,49.326,60,0.0004
qwen3_coder,PBD,is_vulnerable_patch,L3,1432.0,1096.7,43.8,57.191,48.856,60,0.0004
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L1,508.0,1125.3,33.5,15.123,34.427,60,0.0387
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L2,964.0,1125.3,33.5,28.698,33.552,60,0.0387
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L3,1461.0,1125.3,33.5,43.494,32.599,60,0.0387
qwen3_coder,PBD,is_vulnerable_vuln,L1,471.0,1061.7,42.75,18.965,51.894,60,0.0035
qwen3_coder,PBD,is_vulnerable_vuln,L2,868.0,1061.7,42.75,34.951,50.721,60,0.0035
qwen3_coder,PBD,is_vulnerable_vuln,L3,1319.0,1061.7,42.75,53.11,49.388,60,0.0035
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L1,500.0,1090.1,29.3,13.439,30.888,30,0.2095
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L2,896.0,1090.1,29.3,24.083,29.656,30,0.2095
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L3,1348.0,1090.1,29.3,36.232,28.251,30,0.2095
starcoder,LFD,is_vulnerable_patch,L1,510.0,818.9,4.8,2.989,4.544,9,0.9224
starcoder,LFD,is_vulnerable_patch,L2,1011.0,818.9,4.8,5.926,4.934,9,0.9224
starcoder,LFD,is_vulnerable_patch,L3,1738.0,818.9,4.8,10.187,5.5,9,0.9224
starcoder,LFD,is_vulnerable_patch_cve_cwe,L1,539.0,849.9,4.8,3.044,4.612,9,0.9278
starcoder,LFD,is_vulnerable_patch_cve_cwe,L2,1042.0,849.9,4.8,5.885,4.932,9,0.9278
starcoder,LFD,is_vulnerable_patch_cve_cwe,L3,1767.0,849.9,4.8,9.98,5.393,9,0.9278
starcoder,LFD,is_vulnerable_vuln,L1,498.0,783.6,6.9,4.385,6.777,9,0.7189
starcoder,LFD,is_vulnerable_vuln,L2,1056.0,783.6,6.9,9.299,7.056,9,0.7189
starcoder,LFD,is_vulnerable_vuln,L3,1638.0,783.6,6.9,14.423,7.348,9,0.7189
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L1,527.0,814.6,4.8,3.105,4.599,9,0.9163
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L2,1087.0,814.6,4.8,6.405,4.977,9,0.9163
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L3,1667.0,814.6,4.8,9.823,5.369,9,0.9163
starcoder,PBD,is_vulnerable_patch,L1,614.0,1408.3,5.4,2.354,4.763,30,0.5382
starcoder,PBD,is_vulnerable_patch,L2,1235.0,1408.3,5.4,4.735,5.132,30,0.5382
starcoder,PBD,is_vulnerable_patch,L3,1777.0,1408.3,5.4,6.814,5.454,30,0.5382
starcoder,PBD,is_vulnerable_patch_cve_cwe,L1,643.0,1436.9,5.4,2.416,4.745,30,0.5559
starcoder,PBD,is_vulnerable_patch_cve_cwe,L2,1263.0,1436.9,5.4,4.746,5.122,30,0.5559
starcoder,PBD,is_vulnerable_patch_cve_cwe,L3,1806.0,1436.9,5.4,6.787,5.452,30,0.5559
starcoder,PBD,is_vulnerable_vuln,L1,619.0,1359.9,7.3,3.323,6.876,30,0.6437
starcoder,PBD,is_vulnerable_vuln,L2,1103.0,1359.9,7.3,5.921,7.093,30,0.6437
starcoder,PBD,is_vulnerable_vuln,L3,1720.0,1359.9,7.3,9.233,7.369,30,0.6437
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L1,648.0,1388.3,5.35,2.497,4.708,30,0.6445
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L2,1131.0,1388.3,5.35,4.358,5.036,30,0.6445
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L3,1749.0,1388.3,5.35,6.74,5.456,30,0.6445
