model,dataset,task,level,n,median,p95,mean,max
deepseek,LFD,is_vulnerable_patch_cve_cwe,L1,85,372.0,1194.0,545.9176470588235,4251
deepseek,LFD,is_vulnerable_patch_cve_cwe,L2,15,661.0,1393.0,835.4666666666667,1772
deepseek,LFD,is_vulnerable_patch_cve_cwe,L3,3,1141.0,1141.0,942.0,1300
deepseek,LFD,is_vulnerable_vuln,L1,85,338.0,1139.0,510.74117647058824,4230
deepseek,LFD,is_vulnerable_vuln,L2,15,676.0,1301.0,756.7333333333333,1589
deepseek,LFD,is_vulnerable_vuln,L3,3,1055.0,1055.0,879.3333333333334,1243
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L1,85,358.0,1161.0,532.4588235294118,4250
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L2,15,696.0,1321.0,777.8,1611
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1077.0,1077.0,901.3333333333334,1265
deepseek,PBD,is_vulnerable_patch,L1,203,413.0,1633.0,608.0591133004926,5852
deepseek,PBD,is_vulnerable_patch,L2,41,816.0,2857.0,1116.0,4616
deepseek,PBD,is_vulnerable_patch,L3,70,1232.0,5767.0,1965.4142857142858,13022
deepseek,PBD,is_vulnerable_patch_cve_cwe,L1,203,435.0,1655.0,630.1133004926108,5874
deepseek,PBD,is_vulnerable_patch_cve_cwe,L2,41,838.0,2879.0,1138.0243902439024,4638
deepseek,PBD,is_vulnerable_patch_cve_cwe,L3,70,1254.0,5789.0,1987.4142857142858,13044
deepseek,PBD,is_vulnerable_vuln,L1,203,415.0,1656.0,613.2660098522167,5844
deepseek,PBD,is_vulnerable_vuln,L2,41,716.0,2859.0,1069.878048780488,4411
deepseek,PBD,is_vulnerable_vuln,L3,70,1118.0,6686.0,1815.2428571428572,9385
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L1,203,437.0,1678.0,635.320197044335,5866
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L2,41,738.0,2881.0,1091.9024390243903,4433
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1140.0,6708.0,1837.2428571428572,9407
gpt-4.1-mini,LFD,is_vulnerable_patch,L1,85,411.0,1442.0,618.4235294117647,5351
gpt-4.1-mini,LFD,is_vulnerable_patch,L2,15,782.0,1654.0,956.6666666666666,1927
gpt-4.1-mini,LFD,is_vulnerable_patch,L3,3,1310.0,1310.0,1088.3333333333333,1555
gpt-4.1-mini,LFD,is_vulnerable_patch_cve_cwe,L1,85,439.0,1466.0,642.4705882352941,5375
gpt-4.1-mini,LFD,is_vulnerable_patch_cve_cwe,L2,15,806.0,1678.0,980.6666666666666,1951
gpt-4.1-mini,LFD,is_vulnerable_patch_cve_cwe,L3,3,1334.0,1334.0,1112.3333333333333,1579
gpt-4.1-mini,LFD,is_vulnerable_vuln,L1,85,385.0,1390.0,601.5058823529412,5349
gpt-4.1-mini,LFD,is_vulnerable_vuln,L2,15,823.0,1563.0,890.1333333333333,1754
gpt-4.1-mini,LFD,is_vulnerable_vuln,L3,3,1231.0,1231.0,1039.0,1508
gpt-4.1-mini,LFD,is_vulnerable_vuln_cve_cwe,L1,85,411.0,1414.0,625.5529411764705,5373
gpt-4.1-mini,LFD,is_vulnerable_vuln_cve_cwe,L2,15,847.0,1587.0,914.1333333333333,1778
gpt-4.1-mini,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1255.0,1255.0,1063.0,1532
gpt-4.1-mini,PBD,is_vulnerable_patch,L1,203,478.0,1934.0,727.2118226600985,7154
gpt-4.1-mini,PBD,is_vulnerable_patch,L2,41,931.0,3687.0,1344.3902439024391,5481
gpt-4.1-mini,PBD,is_vulnerable_patch,L3,70,1428.0,6798.0,2357.1714285714284,15549
gpt-4.1-mini,PBD,is_vulnerable_patch_cve_cwe,L1,203,502.0,1958.0,751.2610837438424,7178
gpt-4.1-mini,PBD,is_vulnerable_patch_cve_cwe,L2,41,955.0,3711.0,1368.3902439024391,5505
gpt-4.1-mini,PBD,is_vulnerable_patch_cve_cwe,L3,70,1452.0,6822.0,2381.1714285714284,15573
gpt-4.1-mini,PBD,is_vulnerable_vuln,L1,203,469.0,2007.0,734.4088669950739,7145
gpt-4.1-mini,PBD,is_vulnerable_vuln,L2,41,866.0,3690.0,1289.3658536585365,5246
gpt-4.1-mini,PBD,is_vulnerable_vuln,L3,70,1292.0,7846.0,2176.714285714286,11703
gpt-4.1-mini,PBD,is_vulnerable_vuln_cve_cwe,L1,203,493.0,2031.0,758.4581280788177,7169
gpt-4.1-mini,PBD,is_vulnerable_vuln_cve_cwe,L2,41,890.0,3714.0,1313.3658536585365,5270
gpt-4.1-mini,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1316.0,7870.0,2200.714285714286,11727
llama,LFD,is_vulnerable_patch,L1,85,413.0,1428.0,613.3294117647059,5348
llama,LFD,is_vulnerable_patch,L2,15,775.0,1637.0,948.7333333333333,1915
llama,LFD,is_vulnerable_patch,L3,3,1265.0,1265.0,1056.3333333333333,1495
llama,LFD,is_vulnerable_patch_cve_cwe,L1,85,438.0,1450.0,635.3764705882353,5370
llama,LFD,is_vulnerable_patch_cve_cwe,L2,15,797.0,1659.0,970.7333333333333,1937
llama,LFD,is_vulnerable_patch_cve_cwe,L3,3,1287.0,1287.0,1078.3333333333333,1517
llama,LFD,is_vulnerable_vuln,L1,85,387.0,1399.0,596.6470588235294,5346
llama,LFD,is_vulnerable_vuln,L2,15,816.0,1546.0,882.4,1742
llama,LFD,is_vulnerable_vuln,L3,3,1195.0,1195.0,1011.0,1451
llama,LFD,is_vulnerable_vuln_cve_cwe,L1,85,411.0,1421.0,618.6941176470589,5368
llama,LFD,is_vulnerable_vuln_cve_cwe,L2,15,838.0,1568.0,904.4,1764
llama,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1217.0,1217.0,1033.0,1473
llama,PBD,is_vulnerable_patch,L1,203,477.0,1927.0,719.7389162561576,7106
llama,PBD,is_vulnerable_patch,L2,41,930.0,3554.0,1337.1463414634147,5629
llama,PBD,is_vulnerable_patch,L3,70,1380.0,6724.0,2324.8571428571427,15472
llama,PBD,is_vulnerable_patch_cve_cwe,L1,203,499.0,1949.0,741.7881773399015,7128
llama,PBD,is_vulnerable_patch_cve_cwe,L2,41,952.0,3576.0,1359.1463414634147,5651
llama,PBD,is_vulnerable_patch_cve_cwe,L3,70,1402.0,6746.0,2346.8571428571427,15494
llama,PBD,is_vulnerable_vuln,L1,203,471.0,2000.0,726.3251231527094,7097
llama,PBD,is_vulnerable_vuln,L2,41,866.0,3557.0,1282.780487804878,5383
llama,PBD,is_vulnerable_vuln,L3,70,1283.0,7761.0,2146.9857142857145,11418
llama,PBD,is_vulnerable_vuln_cve_cwe,L1,203,493.0,2022.0,748.3743842364532,7119
llama,PBD,is_vulnerable_vuln_cve_cwe,L2,41,888.0,3579.0,1304.780487804878,5405
llama,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1305.0,7783.0,2168.9857142857145,11440
mistral,LFD,is_vulnerable_patch,L1,85,574.0,2128.0,877.8941176470588,7747
mistral,LFD,is_vulnerable_patch,L2,15,1169.0,2401.0,1384.1333333333334,2761
mistral,LFD,is_vulnerable_patch,L3,3,1838.0,1838.0,1561.0,2287
mistral,LFD,is_vulnerable_patch_cve_cwe,L1,85,607.0,2161.0,910.9411764705883,7780
mistral,LFD,is_vulnerable_patch_cve_cwe,L2,15,1202.0,2434.0,1417.0666666666666,2794
mistral,LFD,is_vulnerable_patch_cve_cwe,L3,3,1871.0,1871.0,1594.0,2320
mistral,LFD,is_vulnerable_vuln,L1,85,536.0,2045.0,853.5882352941177,7743
mistral,LFD,is_vulnerable_vuln,L2,15,1222.0,2271.0,1283.8666666666666,2489
mistral,LFD,is_vulnerable_vuln,L3,3,1722.0,1722.0,1485.6666666666667,2211
mistral,LFD,is_vulnerable_vuln_cve_cwe,L1,85,576.0,2078.0,886.635294117647,7776
mistral,LFD,is_vulnerable_vuln_cve_cwe,L2,15,1255.0,2304.0,1316.8,2522
mistral,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1755.0,1755.0,1518.6666666666667,2244
mistral,PBD,is_vulnerable_patch,L1,203,687.0,2842.0,1047.1477832512314,11461
mistral,PBD,is_vulnerable_patch,L2,41,1343.0,5429.0,1981.658536585366,8869
mistral,PBD,is_vulnerable_patch,L3,70,1972.0,10540.0,3411.7285714285713,21535
mistral,PBD,is_vulnerable_patch_cve_cwe,L1,203,719.0,2875.0,1079.7881773399015,11494
mistral,PBD,is_vulnerable_patch_cve_cwe,L2,41,1375.0,5462.0,2014.1463414634147,8902
mistral,PBD,is_vulnerable_patch_cve_cwe,L3,70,2005.0,10571.0,3444.2,21567
mistral,PBD,is_vulnerable_vuln,L1,203,688.0,2886.0,1057.9556650246304,11446
mistral,PBD,is_vulnerable_vuln,L2,41,1216.0,5432.0,1900.1951219512196,8501
mistral,PBD,is_vulnerable_vuln,L3,70,1844.0,12125.0,3151.7428571428572,16737
mistral,PBD,is_vulnerable_vuln_cve_cwe,L1,203,720.0,2918.0,1090.5960591133005,11479
mistral,PBD,is_vulnerable_vuln_cve_cwe,L2,41,1248.0,5465.0,1932.6829268292684,8534
mistral,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1877.0,12156.0,3184.214285714286,16770
qwen3_coder,LFD,is_vulnerable_patch,L1,85,416.0,1433.0,618.435294117647,5411
qwen3_coder,LFD,is_vulnerable_patch,L2,15,775.0,1645.0,953.0666666666667,1917
qwen3_coder,LFD,is_vulnerable_patch,L3,3,1268.0,1268.0,1062.0,1506
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L1,85,445.0,1462.0,647.4705882352941,5440
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L2,15,804.0,1674.0,982.0,1946
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,L3,3,1297.0,1297.0,1091.0,1535
qwen3_coder,LFD,is_vulnerable_vuln,L1,85,389.0,1414.0,601.7058823529412,5408
qwen3_coder,LFD,is_vulnerable_vuln,L2,15,816.0,1553.0,886.6,1744
qwen3_coder,LFD,is_vulnerable_vuln,L3,3,1198.0,1198.0,1016.3333333333334,1461
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L1,85,420.0,1443.0,630.7411764705882,5437
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L2,15,845.0,1582.0,915.5333333333333,1773
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1227.0,1227.0,1045.3333333333333,1490
qwen3_coder,PBD,is_vulnerable_patch,L1,203,480.0,1948.0,726.8423645320197,7142
qwen3_coder,PBD,is_vulnerable_patch,L2,41,935.0,3593.0,1347.6341463414635,5636
qwen3_coder,PBD,is_vulnerable_patch,L3,70,1432.0,6737.0,2349.1,15511
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L1,203,508.0,1977.0,755.4778325123152,7171
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L2,41,964.0,3622.0,1376.121951219512,5665
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,L3,70,1461.0,6764.0,2377.5714285714284,15539
qwen3_coder,PBD,is_vulnerable_vuln,L1,203,471.0,2005.0,733.6256157635468,7133
qwen3_coder,PBD,is_vulnerable_vuln,L2,41,868.0,3596.0,1292.560975609756,5390
qwen3_coder,PBD,is_vulnerable_vuln,L3,70,1319.0,7780.0,2170.0714285714284,11882
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L1,203,500.0,2033.0,762.2610837438424,7162
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L2,41,896.0,3625.0,1321.0487804878048,5419
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1348.0,7807.0,2198.542857142857,11911
starcoder,LFD,is_vulnerable_patch,L1,85,510.0,1840.0,794.3411764705883,6784
starcoder,LFD,is_vulnerable_patch,L2,15,1011.0,2137.0,1259.9333333333334,2630
starcoder,LFD,is_vulnerable_patch,L3,3,1738.0,1738.0,1436.0,2024
starcoder,LFD,is_vulnerable_patch_cve_cwe,L1,85,539.0,1869.0,823.7529411764706,6815
starcoder,LFD,is_vulnerable_patch_cve_cwe,L2,15,1042.0,2168.0,1289.8,2659
starcoder,LFD,is_vulnerable_patch_cve_cwe,L3,3,1767.0,1767.0,1465.0,2053
starcoder,LFD,is_vulnerable_vuln,L1,85,498.0,1783.0,772.9294117647058,6780
starcoder,LFD,is_vulnerable_vuln,L2,15,1056.0,2010.0,1168.2,2368
starcoder,LFD,is_vulnerable_vuln,L3,3,1638.0,1638.0,1370.0,1960
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L1,85,527.0,1814.0,802.3411764705883,6811
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L2,15,1087.0,2041.0,1198.0666666666666,2397
starcoder,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1667.0,1667.0,1399.0,1989
starcoder,PBD,is_vulnerable_patch,L1,203,614.0,2557.0,932.0246305418719,9448
starcoder,PBD,is_vulnerable_patch,L2,41,1235.0,4461.0,1735.0,7446
starcoder,PBD,is_vulnerable_patch,L3,70,1777.0,8841.0,3016.842857142857,18491
starcoder,PBD,is_vulnerable_patch_cve_cwe,L1,203,643.0,2585.0,960.6600985221675,9477
starcoder,PBD,is_vulnerable_patch_cve_cwe,L2,41,1263.0,4490.0,1763.4878048780488,7475
starcoder,PBD,is_vulnerable_patch_cve_cwe,L3,70,1806.0,8868.0,3045.3142857142857,18519
starcoder,PBD,is_vulnerable_vuln,L1,203,619.0,2550.0,939.5911330049261,9436
starcoder,PBD,is_vulnerable_vuln,L2,41,1103.0,4464.0,1662.3170731707316,7126
starcoder,PBD,is_vulnerable_vuln,L3,70,1720.0,10263.0,2786.842857142857,14094
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L1,203,648.0,2578.0,968.2266009852217,9465
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L2,41,1131.0,4493.0,1690.8048780487804,7155
starcoder,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1749.0,10290.0,2815.3142857142857,14121
